Gender,Age,Education Level,Institution Type,IT Student,Location,Load-shedding,Financial Condition,Internet Type,Network Type,,Self Lms,Device,Adaptivity Level,Age_new,Class Duration_new
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Moderate,1-15,1-3
Girl,21-25,University,Non Government,No,No,Low,Mid,Wifi,4G,0,No,Mobile,Low,21-25,0
Girl,11る15ら,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,3る6ら,Yes,Mobile,Moderate,21-25,3-6
Boy,1る5ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1る3ら,No,Mobile,Low,1-5,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Moderate,1-15,1-3
Girl,11る15ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1る3ら,No,Mobile,Moderate,1-15,1-3
Girl,11る15ら,School,Non Government,No,Yes,Low,Poor,Wifi,3G,1る3ら,No,Mobile,Moderate,1-15,1-3
Girl,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1る3ら,Yes,Mobile,Moderate,21-25,1-3
Girl,16-20,School,Non Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Low,16-20,0
Boy,11る15ら,School,Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,High,1-15,1-3
Boy,21-25,University,Non Government,Yes,No,Low,Mid,Wifi,4G,3る6ら,Yes,Computer,Moderate,21-25,3-6
Boy,21-25,University,Non Government,Yes,No,High,Poor,Mobile Data,3G,3る6ら,Yes,Mobile,Moderate,21-25,3-6
Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3る6ら,No,Computer,Moderate,21-25,3-6
Girl,26-30,University,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low,26-30,0
Girl,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,2G,3る6ら,No,Mobile,Moderate,21-25,3-6
Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Low,21-25,1-3
Girl,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Low,21-25,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Girl,11る15ら,School,Government,No,Yes,Low,Rich,Wifi,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Girl,16-20,College,Non Government,No,No,High,Mid,Wifi,4G,3る6ら,No,Mobile,Moderate,16-20,3-6
Girl,11る15ら,School,Non Government,No,No,High,Mid,Mobile Data,3G,0,No,Mobile,Low,1-15,0
Girl,1る5ら,School,Non Government,No,Yes,Low,Poor,Wifi,4G,1る3ら,No,Mobile,Moderate,1-5,1-3
Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,3る6ら,Yes,Computer,Moderate,21-25,3-6
Boy,11る15ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1る3ら,No,Mobile,Low,1-15,1-3
Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,3る6ら,Yes,Mobile,Moderate,21-25,3-6
Boy,21-25,University,Government,Yes,Yes,Low,Mid,Mobile Data,3G,1る3ら,Yes,Mobile,Moderate,21-25,1-3
Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3る6ら,No,Computer,Moderate,21-25,3-6
Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,4G,1る3ら,No,Mobile,Low,16-20,1-3
Boy,16-20,College,Government,No,No,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Low,16-20,1-3
Boy,21-25,University,Government,No,No,Low,Poor,Mobile Data,3G,1る3ら,No,Mobile,Low,21-25,1-3
Girl,11る15ら,School,Non Government,No,Yes,Low,Poor,Wifi,3G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,16-20,College,Government,No,Yes,High,Mid,Wifi,4G,1る3ら,No,Mobile,Moderate,16-20,1-3
Girl,21-25,University,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,21-25,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1る3ら,No,Mobile,Low,1-15,1-3
Boy,26-30,University,Government,Yes,Yes,Low,Rich,Wifi,4G,1る3ら,No,Mobile,High,26-30,1-3
Girl,11る15ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1る3ら,No,Mobile,Low,1-15,1-3
Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,3る6ら,Yes,Mobile,Low,21-25,3-6
Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,4G,3る6ら,No,Mobile,Moderate,16-20,3-6
Boy,1る5ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1る3ら,No,Mobile,Low,1-5,1-3
Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Low,16-20,1-3
Girl,1る5ら,School,Non Government,No,Yes,Low,Poor,Wifi,4G,1る3ら,No,Mobile,Moderate,1-5,1-3
Girl,16-20,College,Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Moderate,16-20,1-3
Girl,16-20,University,Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,Yes,Mobile,Low,16-20,1-3
Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Moderate,16-20,1-3
Boy,21-25,University,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1る3ら,Yes,Mobile,High,21-25,1-3
Boy,11る15ら,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3る6ら,No,Mobile,Moderate,21-25,3-6
Boy,11る15ら,School,Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Girl,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Moderate,1-15,1-3
Girl,6る10ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,2G,1る3ら,No,Mobile,Low,6-10,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Girl,16-20,University,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Low,16-20,1-3
Girl,21-25,University,Government,No,No,Low,Mid,Mobile Data,2G,1る3ら,No,Mobile,Low,21-25,1-3
Boy,21-25,University,Non Government,No,No,Low,Poor,Mobile Data,4G,1る3ら,Yes,Mobile,Low,21-25,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Low,1-15,1-3
Boy,26-30,University,Government,No,No,Low,Poor,Mobile Data,4G,0,No,Mobile,Low,26-30,0
Girl,16-20,College,Government,No,No,Low,Mid,Mobile Data,4G,0,No,Mobile,Low,16-20,0
Girl,21-25,University,Non Government,Yes,Yes,High,Mid,Wifi,4G,1る3ら,No,Mobile,Low,21-25,1-3
Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Wifi,4G,1る3ら,Yes,Computer,High,21-25,1-3
Boy,21-25,University,Non Government,No,No,Low,Mid,Mobile Data,4G,1る3ら,Yes,Mobile,Moderate,21-25,1-3
Boy,21-25,College,Government,Yes,No,Low,Poor,Mobile Data,4G,0,No,Mobile,Low,21-25,0
Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,3る6ら,Yes,Mobile,Moderate,21-25,3-6
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Low,1-15,0
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Low,1-15,0
Boy,11る15ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Girl,1る5ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-5,1-3
Girl,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,Yes,Mobile,Moderate,21-25,1-3
Girl,1る5ら,School,Government,No,Yes,Low,Rich,Mobile Data,4G,1る3ら,Yes,Mobile,Low,1-5,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,21-25,University,Non Government,No,Yes,Low,Rich,Wifi,4G,3る6ら,No,Tab,High,21-25,3-6
Girl,16-20,College,Government,No,No,High,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,16-20,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,21-25,University,Non Government,No,Yes,Low,Rich,Wifi,4G,3る6ら,No,Computer,High,21-25,3-6
Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,3る6ら,Yes,Mobile,Moderate,21-25,3-6
Boy,1る5ら,School,Non Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Low,1-5,1-3
Girl,1る5ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-5,1-3
Boy,21-25,University,Government,No,No,High,Poor,Mobile Data,4G,3る6ら,No,Mobile,Moderate,21-25,3-6
Girl,16-20,School,Non Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Computer,Low,16-20,1-3
Boy,16-20,College,Government,Yes,Yes,Low,Mid,Wifi,4G,1る3ら,Yes,Tab,Moderate,16-20,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Rich,Mobile Data,3G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3る6ら,No,Tab,Moderate,21-25,3-6
Boy,21-25,University,Government,Yes,Yes,Low,Mid,Mobile Data,3G,1る3ら,Yes,Mobile,Moderate,21-25,1-3
Girl,1る5ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-5,1-3
Girl,16-20,College,Non Government,No,No,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Low,16-20,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,11る15ら,School,Non Government,No,Yes,High,Mid,Wifi,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Moderate,16-20,1-3
Girl,11る15ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1る3ら,No,Mobile,Low,1-15,1-3
Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3る6ら,No,Tab,Moderate,21-25,3-6
Girl,21-25,University,Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Low,21-25,0
Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,4G,1る3ら,No,Mobile,Low,16-20,1-3
Girl,11る15ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1る3ら,No,Mobile,Low,1-15,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Rich,Mobile Data,3G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,21-25,University,Non Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low,21-25,0
Girl,1る5ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-5,1-3
Girl,11る15ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1る3ら,No,Mobile,Low,1-15,1-3
Girl,16-20,College,Non Government,No,No,Low,Mid,Mobile Data,3G,3る6ら,Yes,Mobile,Low,16-20,3-6
Boy,21-25,University,Government,Yes,No,High,Mid,Mobile Data,3G,1る3ら,No,Mobile,Moderate,21-25,1-3
Girl,1る5ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-5,1-3
Boy,11る15ら,School,Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,21-25,University,Non Government,No,No,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,21-25,1-3
Girl,21-25,College,Government,No,No,High,Mid,Mobile Data,3G,0,No,Mobile,Low,21-25,0
Girl,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,21-25,University,Government,Yes,Yes,Low,Mid,Wifi,3G,1る3ら,No,Mobile,Low,21-25,1-3
Girl,21-25,University,Non Government,No,Yes,High,Poor,Wifi,4G,3る6ら,No,Mobile,Low,21-25,3-6
Girl,21-25,University,Non Government,Yes,No,Low,Mid,Mobile Data,3G,1る3ら,Yes,Mobile,Moderate,21-25,1-3
Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,3る6ら,No,Mobile,Moderate,16-20,3-6
Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1る3ら,Yes,Mobile,Moderate,21-25,1-3
Boy,21-25,University,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Low,21-25,1-3
Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Low,16-20,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Girl,26-30,University,Government,No,No,Low,Poor,Mobile Data,4G,0,No,Mobile,Low,26-30,0
Girl,1る5ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-5,1-3
Girl,21-25,College,Government,Yes,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,21-25,1-3
Girl,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,16-20,School,Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Moderate,16-20,1-3
Girl,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,3る6ら,Yes,Computer,Low,21-25,3-6
Boy,21-25,University,Non Government,Yes,No,High,Poor,Mobile Data,3G,1る3ら,Yes,Mobile,Moderate,21-25,1-3
Girl,26-30,University,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low,26-30,0
Boy,6る10ら,School,Non Government,No,Yes,Low,Rich,Wifi,4G,1る3ら,No,Mobile,Moderate,6-10,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1る3ら,No,Mobile,Low,1-15,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,3る6ら,No,Mobile,Moderate,1-15,3-6
Girl,1る5ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-5,1-3
Girl,26-30,University,Government,No,No,Low,Poor,Mobile Data,4G,0,No,Mobile,Low,26-30,0
Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,4G,3る6ら,No,Mobile,Moderate,16-20,3-6
Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3る6ら,Yes,Computer,Moderate,21-25,3-6
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,16-20,College,Government,Yes,No,Low,Rich,Wifi,4G,0,No,Mobile,Low,16-20,0
Boy,16-20,College,Government,Yes,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,16-20,1-3
Girl,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Moderate,1-15,1-3
Girl,6る10ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Moderate,6-10,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Moderate,1-15,1-3
Girl,6る10ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1る3ら,No,Mobile,High,6-10,1-3
Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,3る6ら,No,Computer,Low,21-25,3-6
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Mobile Data,3G,1る3ら,Yes,Mobile,Low,21-25,1-3
Boy,21-25,University,Non Government,No,Yes,Low,Rich,Wifi,4G,3る6ら,No,Computer,High,21-25,3-6
Girl,16-20,College,Government,No,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Low,16-20,1-3
Girl,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Moderate,1-15,1-3
Girl,16-20,College,Government,No,Yes,Low,Mid,Wifi,3G,1る3ら,No,Mobile,Moderate,16-20,1-3
Girl,16-20,School,Non Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Low,16-20,1-3
Boy,16-20,School,Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Moderate,16-20,1-3
Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,3る6ら,Yes,Mobile,Moderate,21-25,3-6
Girl,16-20,University,Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,Yes,Mobile,Low,16-20,1-3
Boy,26-30,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,1る3ら,Yes,Mobile,Moderate,26-30,1-3
Boy,21-25,College,Government,Yes,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,21-25,1-3
Girl,6る10ら,School,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,Low,6-10,0
Girl,11る15ら,School,Non Government,No,No,High,Mid,Mobile Data,3G,0,No,Mobile,Low,1-15,0
Boy,21-25,University,Government,Yes,Yes,Low,Mid,Mobile Data,3G,1る3ら,Yes,Mobile,Moderate,21-25,1-3
Girl,1る5ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-5,1-3
Girl,26-30,University,Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Low,26-30,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Low,1-15,0
Boy,21-25,University,Government,No,No,Low,Mid,Mobile Data,4G,0,No,Mobile,Moderate,21-25,0
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Low,1-15,1-3
Boy,21-25,University,Non Government,Yes,No,Low,Mid,Wifi,4G,3る6ら,Yes,Computer,Moderate,21-25,3-6
Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,3G,1る3ら,Yes,Mobile,Moderate,16-20,1-3
Boy,21-25,University,Government,Yes,No,High,Mid,Mobile Data,3G,1る3ら,No,Mobile,Moderate,21-25,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,11る15ら,School,Non Government,No,Yes,High,Mid,Wifi,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,26-30,University,Non Government,Yes,Yes,High,Poor,Mobile Data,3G,1る3ら,Yes,Computer,Moderate,26-30,1-3
Girl,11る15ら,School,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,Low,1-15,0
Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,3る6ら,No,Mobile,High,16-20,3-6
Girl,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Girl,16-20,College,Non Government,No,No,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Low,16-20,1-3
Girl,26-30,University,Government,No,No,Low,Poor,Mobile Data,4G,1る3ら,No,Mobile,Low,26-30,1-3
Girl,16-20,School,Non Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Computer,Low,16-20,1-3
Boy,21-25,University,Government,Yes,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Low,21-25,1-3
Girl,21-25,University,Non Government,No,No,Low,Mid,Wifi,4G,0,No,Mobile,Low,21-25,0
Boy,21-25,University,Non Government,Yes,Yes,Low,Rich,Wifi,4G,3る6ら,No,Mobile,Low,21-25,3-6
Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Wifi,4G,1る3ら,Yes,Computer,High,21-25,1-3
Girl,26-30,University,Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Low,26-30,0
Boy,16-20,School,Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Moderate,16-20,1-3
Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,3G,1る3ら,Yes,Mobile,Moderate,16-20,1-3
Boy,26-30,University,Government,Yes,Yes,Low,Mid,Wifi,4G,0,No,Computer,Low,26-30,0
Boy,16-20,College,Government,No,Yes,High,Mid,Wifi,4G,1る3ら,No,Mobile,Moderate,16-20,1-3
Boy,21-25,University,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Low,21-25,1-3
Girl,26-30,University,Government,No,No,Low,Poor,Mobile Data,4G,1る3ら,No,Mobile,Low,26-30,1-3
Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1る3ら,Yes,Computer,High,21-25,1-3
Girl,1る5ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-5,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,26-30,University,Government,Yes,Yes,Low,Rich,Wifi,4G,1る3ら,No,Mobile,High,26-30,1-3
Boy,21-25,University,Non Government,Yes,Yes,Low,Rich,Wifi,4G,1る3ら,Yes,Computer,High,21-25,1-3
Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Wifi,4G,1る3ら,Yes,Computer,High,21-25,1-3
Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3る6ら,No,Tab,Moderate,21-25,3-6
Girl,16-20,College,Non Government,No,No,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Low,16-20,1-3
Girl,1る5ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-5,1-3
Boy,26-30,University,Government,Yes,Yes,Low,Mid,Wifi,4G,0,No,Computer,Low,26-30,0
Boy,16-20,College,Government,No,No,High,Mid,Mobile Data,3G,1る3ら,No,Mobile,Low,16-20,1-3
Boy,26-30,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,1る3ら,Yes,Mobile,Moderate,26-30,1-3
Boy,16-20,University,Government,No,Yes,Low,Mid,Wifi,3G,1る3ら,Yes,Computer,Moderate,16-20,1-3
Girl,16-20,University,Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,Yes,Mobile,Low,16-20,1-3
Girl,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Moderate,1-15,1-3
Girl,6る10ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Moderate,6-10,1-3
Girl,11る15ら,School,Non Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Computer,Moderate,1-15,1-3
Girl,16-20,College,Government,No,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Low,16-20,1-3
Boy,1る5ら,School,Non Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Low,1-5,1-3
Girl,26-30,University,Government,No,No,Low,Poor,Mobile Data,4G,0,No,Mobile,Low,26-30,0
Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,3る6ら,Yes,Mobile,Moderate,21-25,3-6
Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1る3ら,Yes,Computer,High,21-25,1-3
Boy,11る15ら,School,Non Government,No,Yes,High,Mid,Wifi,4G,1る3ら,No,Computer,Low,1-15,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1る3ら,No,Mobile,Low,1-15,1-3
Boy,21-25,University,Government,No,No,High,Poor,Mobile Data,4G,3る6ら,No,Mobile,Moderate,21-25,3-6
Girl,26-30,University,Government,Yes,Yes,Low,Poor,Mobile Data,4G,0,No,Computer,Low,26-30,0
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,High,1-15,1-3
Girl,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Low,21-25,1-3
Girl,21-25,University,Non Government,Yes,No,Low,Mid,Mobile Data,3G,1る3ら,Yes,Mobile,Moderate,21-25,1-3
Girl,21-25,University,Non Government,Yes,Yes,High,Mid,Wifi,4G,1る3ら,No,Mobile,Low,21-25,1-3
Girl,26-30,University,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low,26-30,0
Girl,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3る6ら,No,Tab,Moderate,21-25,3-6
Boy,11る15ら,School,Non Government,No,Yes,High,Poor,Wifi,4G,1る3ら,No,Mobile,Low,1-15,1-3
Girl,16-20,College,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1る3ら,Yes,Mobile,Moderate,16-20,1-3
Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,3る6ら,Yes,Mobile,Moderate,21-25,3-6
Boy,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Moderate,16-20,1-3
Girl,26-30,University,Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Low,26-30,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,11る15ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1る3ら,No,Mobile,Low,1-15,1-3
Girl,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,Yes,Mobile,Moderate,21-25,1-3
Boy,21-25,College,Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Low,21-25,1-3
Girl,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3G,1る3ら,Yes,Mobile,High,21-25,1-3
